Statement,Link,Date,Source,Label
"“Third grade reading scores in the USA help correctional institutions predict how many beds they'll need in the future.""",https://www.politifact.com/factchecks/2022/jul/20/instagram-posts/no-third-grade-reading-scores-are-not-being-used-p/,7/20/2022 0:00,Instagram posts,pants-fire
"Antifa was already inside the Capitol with floor plans dressed as Trump supporters on Jan. 6 2021 proving the attack “was 100% a setup.""",https://www.politifact.com/factchecks/2022/jul/19/facebook-posts/no-video-rioters-discussing-capitol-floor-plan-doe/,7/19/2022 0:00,Facebook posts,FALSE
Photo shows a woman who is wanted for impersonating a nurse and kidnapping an infant from a local U.S. hospital.,https://www.politifact.com/factchecks/2022/jul/19/viral-image/no-woman-isnt-wanted-impersonating-nurse-and-kidna/,7/19/2022 0:00,Viral image,FALSE
El 11 de mayo de 1987 el London Times informó en su portada: ‘La OMS entregó 50 millones de vacunas contra la viruela del mono estas provocaron el SIDA a los africanos’.,https://www.politifact.com/factchecks/2022/jul/19/facebook-posts/no-un-articulo-del-london-times-no-alego-que-la-va/,7/19/2022 0:00,Facebook posts,FALSE
“Drought is a lie” designed to limit farming reduce the food supply and ultimately control Americans.,https://www.politifact.com/factchecks/2022/jul/19/facebook-posts/much-us-experiencing-drought-s-not-lie/,7/19/2022 0:00,Facebook posts,pants-fire
Jim Jordan told Alexandria Ocasio-Cortez “You’re just dumb.”,https://www.politifact.com/factchecks/2022/jul/19/viral-image/video-doesnt-show-jordan-insulting-aoc/,7/19/2022 0:00,Viral image,FALSE
Video shows Ukrainian air defenses in Sievierodonetsk shooting down “55 Ka 52 helicopters.”,https://www.politifact.com/factchecks/2022/jul/19/viral-image/clip-shows-video-game-not-ukrainian-victory-sievie/,7/19/2022 0:00,Viral image,FALSE
“Antarctica is not a continent.”,https://www.politifact.com/factchecks/2022/jul/19/viral-image/yes-antarctica-continent/,7/19/2022 0:00,Viral image,FALSE
Video shows Donald Trump at an Alabama rally on July 13 2022.,https://www.politifact.com/factchecks/2022/jul/19/viral-image/no-video-doesnt-show-trump-speaking-alabama-july-2/,7/19/2022 0:00,Viral image,FALSE
CNN coverage has evidence of the “single most egregious real-time example of electronic vote fraud.”,https://www.politifact.com/factchecks/2022/jul/19/facebook-posts/facebook-post-relies-debunked-conspiracy-theory-el/,7/19/2022 0:00,Facebook posts,pants-fire
“Biden admits $5 is being done on purpose” and “this has been his plan all along.”,https://www.politifact.com/factchecks/2022/jul/18/instagram-posts/no-biden-didnt-admit-plotting-make-gasoline-prices/,7/18/2022 0:00,Instagram posts,FALSE
R. Kelly “missing after prison security verify he’s escaped beneath facility.”,https://www.politifact.com/factchecks/2022/jul/18/instagram-posts/no-r-kelly-didnt-escape-prison/,7/18/2022 0:00,Instagram posts,FALSE
Claims the James Webb Space Telescope is “fakery they got for the masses”,https://www.politifact.com/factchecks/2022/jul/18/facebook-posts/james-webb-space-telescope-and-images-it-has-taken/,7/18/2022 0:00,Facebook posts,pants-fire
KFC is giving away chicken bucket vouchers to customers who share a Facebook post before July 20.,https://www.politifact.com/factchecks/2022/jul/18/facebook-posts/dont-fall-these-kfc-scams/,7/18/2022 0:00,Facebook posts,FALSE
Thanks to failed Dem policies beer is 9.1% more expensive.,https://www.politifact.com/factchecks/2022/jul/18/ron-johnson/yes-beer-prices-are-no-s-not-only-because-democrat/,7/18/2022 0:00,Ron Johnson,half-true
Mehmet Oz “wants to make abortion a crime in Pennsylvania.”,https://www.politifact.com/factchecks/2022/jul/18/planned-parenthood-votes/mehmet-oz-has-said-he-supports-more-restrictions-a/,7/18/2022 0:00,Planned Parenthood Votes,half-true
Lee Zeldin “voted for abortion bans even when the mother’s health is at risk.”,https://www.politifact.com/factchecks/2022/jul/17/kathy-hochul/zeldin-supported-bill-narrow-exceptions/,7/17/2022 0:00,Kathy Hochul,mostly-true
If a 10-year-old became pregnant as a result of rape and it was threatening her life then that’s not an abortion.,https://www.politifact.com/factchecks/2022/jul/15/catherine-glenn-foster/abortions-done-under-legal-exceptions-are-still-ab/,7/15/2022 0:00,Catherine Glenn Foster,FALSE
An image shows an “all aboard the Trump train” truck crashed into a bridge.,https://www.politifact.com/factchecks/2022/jul/15/viral-image/image-trump-train-truck-crashed-bridge-digitally-e/,7/15/2022 0:00,Viral image,FALSE
"Video shows Biden giving the ""same exact speech"" months apart.",https://www.politifact.com/factchecks/2022/jul/15/instagram-posts/no-biden-didnt-give-same-exact-speech-months-apart/,7/15/2022 0:00,Instagram posts,FALSE
“In Virginia we actually do protect same-sex marriage.”,https://www.politifact.com/factchecks/2022/jul/15/glenn-youngkin/youngkins-claim-virginia-protects-same-sex-marriag/,7/15/2022 0:00,Glenn Youngkin,barely-true
Actor Tom Holland is “confirmed to have died.”,https://www.politifact.com/factchecks/2022/jul/14/instagram-posts/no-proof-tom-holland-died-despite-viral-internet-r/,7/14/2022 0:00,Instagram posts,FALSE
"Sen. Marco Rubio has ""one of the worst attendance records in the Senate.""",https://www.politifact.com/factchecks/2022/jul/14/val-demings/val-demings-ad-criticizes-rubios-attendance-record/,7/14/2022 0:00,Val Demings,mostly-true
In Kenya “pregnant women can’t leave the house so they absolutely have no constructive right to vote.”,https://www.politifact.com/factchecks/2022/jul/14/emily-compagno/pregnant-women-kenya-have-right-vote/,7/14/2022 0:00,Emily Compagno,pants-fire
Pilotos protestan contra vacuna COVID-19 en aeropuerto de Atlanta.,https://www.politifact.com/factchecks/2022/jul/14/facebook-posts/no-estos-pilotos-no-protestan-contra-la-vacuna-cov/,7/14/2022 0:00,Facebook posts,FALSE
"The Wisconsin Supreme Court decision declaring ballot drop boxes illegal ""includes the 2020 Presidential Election.""",https://www.politifact.com/factchecks/2022/jul/14/donald-trump/trump-back-hot-seat-claim-linking-ballot-box-rulin/,7/14/2022 0:00,Donald Trump,pants-fire
Texas' public high school graduation rate is at 90% overall.,https://www.politifact.com/factchecks/2022/jul/14/greg-abbott/abbott-right-graduation-rate-90/,7/14/2022 0:00,Greg Abbott,TRUE
Kevin McCarthy said Nancy Pelosi “should be prosecuted and jailed.”,https://www.politifact.com/factchecks/2022/jul/14/facebook-posts/no-mccarthy-didnt-say-pelosi-should-be-prosecuted-/,7/14/2022 0:00,Facebook posts,FALSE
“Adults over 51 can receive $$$ in additional spending for groceries and expenses.”,https://www.politifact.com/factchecks/2022/jul/14/facebook-posts/adults-older-51-wont-get-free-money-help-stave-inf/,7/13/2022 0:00,Facebook posts,FALSE
U.S. Rep. Mayra Flores is “the first Mexican-born member of Congress.”,https://www.politifact.com/factchecks/2022/jul/13/lauren-boebert/no-rep-mayra-flores-r-texas-not-first-mexican-born/,7/13/2022 0:00,Lauren Boebert,FALSE
The “average federal income tax” paid by the richest Americans is “8%. … If you’re a cop a teacher a firefighter union worker you probably pay two to three times that.”,https://www.politifact.com/factchecks/2022/jul/13/joe-biden/joe-bidens-dubious-math-federal-income-tax-burden/,7/13/2022 0:00,Joe Biden,FALSE
Images from Hunter Biden’s laptop show Joe Biden naked with a young girl.,https://www.politifact.com/factchecks/2022/jul/13/facebook-posts/no-viral-images-dont-show-joe-biden-naked-young-gi/,7/13/2022 0:00,Facebook posts,pants-fire
ADHD does not exist.,https://www.politifact.com/factchecks/2022/jul/13/facebook-posts/adhd-was-not-invented-disadvantage-black-children/,7/13/2022 0:00,Facebook posts,FALSE
There are no artifacts to prove that slave ships existed.,https://www.politifact.com/factchecks/2022/jul/13/tweets/yes-slave-ships-existed/,7/13/2022 0:00,Tweets,pants-fire
“High-ranking Ukrainian officials caught splurging on luxury real estate in Switzerland.”,https://www.politifact.com/factchecks/2022/jul/13/blog-posting/land-documents-claiming-ukrainian-officials-bought/,7/13/2022 0:00,Bloggers,FALSE
Falleció el papa emérito Benedicto XVI.,https://www.politifact.com/factchecks/2022/jul/12/instagram-posts/no-el-papa-emerito-benedicto-xvi-no-ha-fallecido/,7/12/2022 0:00,Instagram posts,FALSE
Ron DeSantis still hasn't condemned the Jan. 6 insurrection.,https://www.politifact.com/factchecks/2022/jul/12/charlie-crist/fact-checking-charlie-crists-claim-desantis-hasnt-/,7/12/2022 0:00,Charlie Crist,FALSE
"“Putin humiliatingly blows up all weapons and facilities"" on Snake Island by retreating Russian troops.",https://www.politifact.com/factchecks/2022/jul/12/facebook-posts/claims-russia-bombed-ukraines-snake-island-after-t/,7/12/2022 0:00,Facebook posts,barely-true
Fluoride will eat a hole through concrete so it’s not safe for your teeth.,https://www.politifact.com/factchecks/2022/jul/12/facebook-posts/fluoride-safe-your-toothpaste-and-drinking-water-e/,7/12/2022 0:00,Facebook posts,FALSE
Sri Lanka’s president Estonia’s prime minister and Ukrainian diplomats were arrested.,https://www.politifact.com/factchecks/2022/jul/12/facebook-posts/no-these-political-leader-and-diplomats-havent-bee/,7/12/2022 0:00,Facebook posts,FALSE
Colloidal silver is “harmless” unless you’re allergic to it.,https://www.politifact.com/factchecks/2022/jul/12/instagram-posts/colloidal-silver-can-cause-serious-side-effects-ac/,7/12/2022 0:00,Instagram posts,FALSE
Shooter in Highland Park Illinois “bought the gun illegally.”,https://www.politifact.com/factchecks/2022/jul/12/facebook-posts/weapons-bought-july-4-highland-park-shooter-were-p/,7/12/2022 0:00,Facebook posts,FALSE
Abortion is available at any point of pregnancy and for any reason in Alaska Colorado New Jersey New Mexico Oregon and Vermont.,https://www.politifact.com/factchecks/2022/jul/12/focus-family/anti-abortion-group-exaggerates-how-states-regulat/,7/12/2022 0:00,Focus on the Family,barely-true
Milwaukee’s hotels and restaurants are already filled during the summer. The RNC convention will simply replace those who normally visit our city.,https://www.politifact.com/factchecks/2022/jul/12/politifact-group/milwaukees-hotels-and-restaurants-would-benefit-rn/,7/12/2022 0:00,Liberal Groups,barely-true
“Ninety-two percent of abortions in Virginia take place before 15 weeks.”,https://www.politifact.com/factchecks/2022/jul/12/bob-good/virginia-975-abortions-occur-15-weeks-pregnancy-or/,7/12/2022 0:00,Bob Good,mostly-true
Shinzo Abe was assassinated because he “didn’t mandate vaccines sent 1.6 million doses back and gave citizens ivermectin.”,https://www.politifact.com/factchecks/2022/jul/11/instagram-posts/no-evidence-shinzo-abe-was-assassinated-over-his-r/,7/11/2022 0:00,Instagram posts,FALSE
“The immune system does not exist.”,https://www.politifact.com/factchecks/2022/jul/11/tiktok-posts/immune-system-exists/,7/11/2022 0:00,TikTok posts,FALSE
“Belarus declares war on Poland.”,https://www.politifact.com/factchecks/2022/jul/11/facebook-posts/no-belarus-hasnt-declared-war-poland/,7/11/2022 0:00,Facebook posts,FALSE
House Democrats have kicked Rep. Ilhan Omar out of Congress,https://www.politifact.com/factchecks/2022/jul/11/facebook-posts/rep-ilhan-omar-facing-primary-challenge-shes-still/,7/11/2022 0:00,Facebook posts,pants-fire
Anthony Bourdain and Chris Cornell were killed while working on a documentary about “widespread pedophilia.”,https://www.politifact.com/factchecks/2022/jul/11/viral-image/no-anthony-bourdain-and-other-celebrities-werent-k/,7/11/2022 0:00,Viral image,pants-fire
A photo shows two men on the run who pretend to be homeless and then “attack and rob you.”,https://www.politifact.com/factchecks/2022/jul/11/viral-image/dont-fall-hoax-about-two-men-pretending-be-homeles/,7/11/2022 0:00,Viral image,FALSE
Elon Musk’s account “is suspended on Twitter after backing out of $44B deal.”,https://www.politifact.com/factchecks/2022/jul/11/viral-image/no-twitter-didnt-suspend-elon-musks-account/,7/11/2022 0:00,Viral image,FALSE
Fast food chain Wendy’s was “exposed for using horse meat.”,https://www.politifact.com/factchecks/2022/jul/08/facebook-posts/no-horsing-around-wendys-uses-real-beef-company-of/,7/8/2022 0:00,Facebook posts,pants-fire
The Civics Secures Democracy Act “would allow the Biden administration to buy off states with $6 billion” if they adopt critical race theory.,https://www.politifact.com/factchecks/2022/jul/08/ron-desantis/ron-desantis-falsely-claims-biden-trying-buy-state/,7/8/2022 0:00,Ron DeSantis,FALSE
“Moscow was engulfed in flames” after a giant explosion.,https://www.politifact.com/factchecks/2022/jul/08/facebook-posts/moscow-wasnt-engulfed-flames/,7/8/2022 0:00,Facebook posts,FALSE
“Biden impeachment in progress.”,https://www.politifact.com/factchecks/2022/jul/08/facebook-posts/no-biden-isnt-process-being-impeached/,7/8/2022 0:00,Facebook posts,pants-fire
Video shows Joe Biden putting a Medal of Honor on a Vietnam War veteran backward.,https://www.politifact.com/factchecks/2022/jul/08/viral-image/no-biden-didnt-put-medal-honor-around-vietnam-war-/,7/8/2022 0:00,Viral image,pants-fire
An image shows that “following his resignation Boris Johnson has escaped to the sea.”,https://www.politifact.com/factchecks/2022/jul/08/tweets/no-boris-johnson-didnt-go-swimming-after-his-resig/,7/8/2022 0:00,Tweets,FALSE
President Donald Trump was in a presidential limousine as he left his Jan. 6 2021 rally at the White House Ellipse.,https://www.politifact.com/factchecks/2022/jul/08/facebook-posts/trump-was-suv-after-jan-6-rally-not-presidential-l/,7/8/2022 0:00,Facebook posts,FALSE
“SCOTUS overturned the 2020 election.”,https://www.politifact.com/factchecks/2022/jul/08/facebook-posts/no-supreme-court-didnt-overturn-2020-election/,7/8/2022 0:00,Facebook posts,pants-fire
The RNC is “a $200 million economic infusion into our communities.”,https://www.politifact.com/factchecks/2022/jul/08/cavalier-johnson/mayor-johnson-overestimates-economic-benefit-hosti/,7/8/2022 0:00,Cavalier Johnson,half-true
Florida Gov. Ron DeSantis “signs bill requiring Florida students professors to register political views with (the) state.”,https://www.politifact.com/factchecks/2022/jul/07/stephen-king/florida-not-requiring-professors-students-register/,7/7/2022 0:00,Stephen King,FALSE
Fox offers Chris Wallace's Sunday spot to Candace Owens.,https://www.politifact.com/factchecks/2022/jul/07/facebook-posts/no-fox-news-did-not-offer-chris-wallaces-old-sunda/,7/7/2022 0:00,Facebook posts,FALSE
A video shows Joe Biden speaking slowly and slurring on the Fourth of July.,https://www.politifact.com/factchecks/2022/jul/07/viral-image/video-joe-biden-slowed-down-his-speech/,7/7/2022 0:00,Viral image,pants-fire
Cheri Beasley voted to reverse the conviction of an armed kidnapper release a double murderer early.,https://www.politifact.com/factchecks/2022/jul/07/national-republican-senatorial-committee/checking-beasley-votes-armed-kidnapper-and-double-/,7/7/2022 0:00,National Republican Senatorial Committee,mostly-true
Images show Highland Park shooter had antifa connection,https://www.politifact.com/factchecks/2022/jul/07/facebook-posts/no-evidence-ties-highland-park-shooter-antifa/,7/7/2022 0:00,Facebook posts,FALSE
The mass shooting in Highland Park Illinois was a “false flag.”,https://www.politifact.com/factchecks/2022/jul/07/facebook-posts/highland-park-shooting-wasnt-false-flag/,7/7/2022 0:00,Facebook posts,pants-fire
Ukrainian “attack destroys skyscraper in Moscow.”,https://www.politifact.com/factchecks/2022/jul/07/viral-image/no-ukrainian-attack-didnt-destroy-moscow-skyscrape/,7/7/2022 0:00,Viral image,FALSE
Peter Meijer voted to “create the Adam Schiff-led January 6th Commission.”,https://www.politifact.com/factchecks/2022/jul/07/john-gibbs/john-gibbs-falsely-claims-peter-meijer-voted-creat/,7/6/2022 0:00,John Gibbs,FALSE
"Claims the U.S. military is using ""polymer drone flies"" that look and act like a large fly.",https://www.politifact.com/factchecks/2022/jul/06/facebook-posts/facebook-video-shows-actual-fly-not-polymer-drone/,7/6/2022 0:00,Facebook posts,FALSE
Video shows the aftermath of a mass shooting in Harrisburg Pennsylvania.,https://www.politifact.com/factchecks/2022/jul/06/facebook-posts/there-was-no-mass-shooting-harrisburg-fourth-july-/,7/6/2022 0:00,Facebook posts,FALSE
Video shows Russian artillery tanks “completely destroyed by Bayraktar TB2 drones” on July 2.,https://www.politifact.com/factchecks/2022/jul/06/viral-image/post-shows-video-game-footage-not-war-ukraine/,7/6/2022 0:00,Viral image,FALSE
"Says an image shows the Highland Park shooting suspect ""in jail or rehab or a psychiatric center"" before the shooting.",https://www.politifact.com/factchecks/2022/jul/05/marjorie-taylor-greene/marjorie-taylor-greene-shared-edited-image-highlan/,7/5/2022 0:00,Marjorie Taylor Greene,FALSE
“Charlie Crist is pro-life.”,https://www.politifact.com/factchecks/2022/jul/05/nikki-fried/nikki-frieds-ad-misleads-crists-position-abortion-/,7/5/2022 0:00,Nikki Fried,barely-true
Planned Parenthood clinics are “closing down all over the country” because Roe v. Wade was overturned.,https://www.politifact.com/factchecks/2022/jul/05/facebook-posts/no-planned-parenthood-clinics-have-closed-abortion/,7/5/2022 0:00,Facebook posts,barely-true
Says Marjorie Taylor Greene said “246 years ago Jesus Christ performed his miracle of making a single days worth of bullets last 8 days.”,https://www.politifact.com/factchecks/2022/jul/05/viral-image/no-marjorie-taylor-greene-didnt-tweet-july-4/,7/5/2022 0:00,Viral image,pants-fire
The cost of a Fourth of July cookout in 2022 increased by 67.2% because of inflation.,https://www.politifact.com/factchecks/2022/jul/05/nikki-haley/fact-checking-nikki-haley-july-4-cookout-costs/,7/5/2022 0:00,Nikki Haley,FALSE
“Since I took office Michigan has added more than 25000 auto jobs.”,https://www.politifact.com/factchecks/2022/jul/01/gretchen-whitmer/whitmer-touts-growth-auto-industry-jobs-data-doesn/,7/1/2022 0:00,Gretchen Whitmer,barely-true
Video claims Moscow turned into “sea of fire after being attacked by two mysterious missiles.”,https://www.politifact.com/factchecks/2022/jun/30/facebook-posts/no-moscow-was-not-targeted-missile-attack/,6/30/2022 0:00,Facebook posts,pants-fire
“Plan B can cause an abortion. It’s right there on the box.”,https://www.politifact.com/factchecks/2022/jun/30/instagram-posts/plan-b-emergency-contraceptive-it-doesnt-cause-abo/,6/30/2022 0:00,Instagram posts,FALSE
The Founding Fathers of the United States intended that “the church is supposed to direct the government.”,https://www.politifact.com/factchecks/2022/jun/30/lauren-boebert/lauren-boebert-wrong-founding-fathers-intent-exper/,6/30/2022 0:00,Lauren Boebert,FALSE
An image shows a “UFO photographed on June 21 2014 by the pilot from the cockpit of an F-16 military plane flying near Lackland Air Force Base of the United States located in San Antonio Texas.”,https://www.politifact.com/factchecks/2022/jun/30/facebook-posts/no-proof-viral-facebook-image-pilot-spotting-ufo-a/,6/30/2022 0:00,Facebook posts,FALSE
J.K. Rowling tweeted “If you American birds could keep your legs closed then maybe you wouldn’t need abortions in the first place?”,https://www.politifact.com/factchecks/2022/jun/30/viral-image/no-jk-rowling-did-not-write-tweet-advising-america/,6/30/2022 0:00,Viral image,FALSE
This is the 911 call placed by the migrants trapped in the truck found in San Antonio.,https://www.politifact.com/factchecks/2022/jun/30/facebook-posts/no-911-audio-not-related-migrants-truck-found-san-/,6/30/2022 0:00,Facebook posts,FALSE
"J.D. Vance ""wants to defund law enforcement.""",https://www.politifact.com/factchecks/2022/jun/30/tim-ryan/ohios-jd-vance-wants-defund-federal-law-enforcemen/,6/30/2022 0:00,Tim Ryan,half-true
Esta grabación muestra una llamada al 911 de los migrantes atrapados en un camión en San Antonio Texas.,https://www.politifact.com/factchecks/2022/jun/30/facebook-posts/no-este-audio-no-esta-relacionado-con-los-migrante/,6/30/2022 0:00,Facebook posts,FALSE
The Supreme Court ruled that border agents can enter anyone’s home within a 100-mile radius of the border without a warrant for any reason and federal courts cannot do anything about it.,https://www.politifact.com/factchecks/2022/jun/30/instagram-posts/no-border-patrol-agents-cant-enter-home-without-wa/,6/30/2022 0:00,Instagram posts,barely-true
“The four big meat packers are raking in record profits … ”,https://www.politifact.com/factchecks/2022/jun/30/abigail-spanberger/big-four-meat-packers-are-seeing-record-profits-sp/,6/30/2022 0:00,Abigail Spanberger,TRUE
“Trump is addressing to the nation today.”,https://www.politifact.com/factchecks/2022/jun/28/facebook-posts/trump-didnt-give-address-nation-june-27/,6/28/2022 0:00,Facebook posts,FALSE
“Joe Biden just resigned from the White House.”,https://www.politifact.com/factchecks/2022/jun/28/facebook-posts/biden-president-he-didnt-resign/,6/28/2022 0:00,Facebook posts,pants-fire
"No one “with a concealed carry permit ever committed a mass shooting.""",https://www.politifact.com/factchecks/2022/jun/28/greg-gutfeld/fox-news-greg-gutfeld-falsely-claims-concealed-car/,6/28/2022 0:00,Greg Gutfeld,FALSE
A Texas GOP lawmaker recently introduced a bill that would allow the death penalty for women who have an abortion.,https://www.politifact.com/factchecks/2022/jun/28/instagram-posts/headline-about-texas-lawmakers-anti-abortion-bill-/,6/28/2022 0:00,Instagram posts,mostly-true
Photo shows a trashed venue in Glastonbury after climate activist Greta Thunberg spoke there.,https://www.politifact.com/factchecks/2022/jun/28/viral-image/photo-2015-wrongly-described-showing-aftermath-gre/,6/28/2022 0:00,Viral image,FALSE
“Iceland declares all religions are mental disorders.”,https://www.politifact.com/factchecks/2022/jun/28/viral-image/no-iceland-didnt-call-religions-mental-disorders/,6/28/2022 0:00,Viral image,FALSE
The Clintons and Bushes were “involved in orchestrating the assassination of JFK Jr.”,https://www.politifact.com/factchecks/2022/jun/28/instagram-posts/no-clintons-and-bushes-didnt-help-assassinate-jfk-/,6/28/2022 0:00,Instagram posts,pants-fire
Says U.S. Sen. Ron Johnson his prospective opponent has received $1.2 million from the gun lobby.,https://www.politifact.com/factchecks/2022/jun/28/mandela-barnes/barnes-partially-right-claim-johnson-has-received-/,6/28/2022 0:00,Mandela Barnes,half-true
“The majority of citizens in the country will have no change at all because … most of the population resides in states that have already protected abortion rights.”,https://www.politifact.com/factchecks/2022/jun/27/jonathan-turley/complicated-calculation-determine-what-share-popul/,6/27/2022 0:00,Jonathan Turley,half-true
"The Supreme Court decision overturning Roe v. Wade ""made the United States an outlier among developed nations in the world"" on abortion rights.",https://www.politifact.com/factchecks/2022/jun/24/joe-biden/roe-reversal-ending-national-access-abortion-makes/,6/24/2022 0:00,Joe Biden,mostly-true
“We’ve got a parole board right now that has released 20 cop killers in the last two years under Hochul.”,https://www.politifact.com/factchecks/2022/jun/24/rob-astorino/gop-challenger-overstates-parole-boards-record-und/,6/24/2022 0:00,Rob Astorino,FALSE
Recent research suggests that 15% of abortions are the result of coercion.,https://www.politifact.com/factchecks/2022/jun/24/tweets/scant-evidence-15-abortions-are-result-coercion/,6/24/2022 0:00,Tweets,barely-true
“In Virginia Black people are eight times (8X) more likely than white people to die of gun homicide.”,https://www.politifact.com/factchecks/2022/jun/24/levar-stoney/virginia-blacks-eight-times-more-likely-whites-be-/,6/24/2022 0:00,Levar Stoney,TRUE
“American oil is … more affordable” than foreign oil.,https://www.politifact.com/factchecks/2022/jun/24/kevin-mccarthy/kevin-mccarthy-said-domestic-oil-more-affordable-i/,6/24/2022 0:00,Kevin McCarthy,FALSE
"According to International Olympic Committee data “an average of 29 athletes under the age of 35 suffered sudden death per year from 1966 to 2004. From March 2021 to March 2022 769 athletes have died or suffered cardiac arrest.""",https://www.politifact.com/factchecks/2022/jun/23/instagram-posts/claims-connecting-sudden-death-athletes-covid-19-v/,6/23/2022 0:00,Instagram posts,FALSE
"Adam Laxalt ""wants to restrict"" and ""worked to limit access to birth control.""",https://www.politifact.com/factchecks/2022/jun/23/catherine-cortez-masto/gop-nevada-senate-hopeful-adam-laxalt-backed-birth/,6/23/2022 0:00,Catherine Cortez Masto,mostly-true
"Adam Laxalt ""supports eliminating Nevada's protections for legal abortions.""",https://www.politifact.com/factchecks/2022/jun/23/catherine-cortez-masto/gop-senate-hopeful-adam-laxalt-open-tightening-abo/,6/23/2022 0:00,Catherine Cortez Masto,half-true
“When you have unemployment below 4% and inflation above 4% recession always follows within two years.”,https://www.politifact.com/factchecks/2022/jun/23/lawrence-summers/fact-checking-larry-summers-formula-unemploymen/,6/23/2022 0:00,Lawrence Summers,barely-true
“Joe Biden’s margin of the less than 21000 votes in Wisconsin was the tightest of any state in 2020.”,https://www.politifact.com/factchecks/2022/jun/23/rebecca-kleefisch/kleefisch-campaign-wrong-wisconsin-had-smallest-ma/,6/23/2022 0:00,Rebecca Kleefisch,FALSE
“Gas in Canada is $9.00 a gallon.”,https://www.politifact.com/factchecks/2022/jun/22/instagram-posts/no-gas-canada-isnt-9-gallon/,6/22/2022 0:00,Instagram posts,FALSE
"“Wisconsin's archaic abortion ban is older than 20 states.""",https://www.politifact.com/factchecks/2022/jun/22/tony-evers/yes-wisconsins-abortion-law-older-20-us-states/,6/22/2022 0:00,Tony Evers,TRUE
A photo shows Marjorie Taylor Greene wearing a Soviet shirt and giving a Nazi salute.,https://www.politifact.com/factchecks/2022/jun/22/viral-image/photo-altered-look-its-marjorie-taylor-greene-wear/,6/22/2022 0:00,Viral image,pants-fire
