tweet_text,hate_score
addictedguys simplyaddictedtoguys woof woof hot scally lad,2
adorebellaaa ya ever ask bitch bitch kanye voice yes,1
adorezoey go bring side bitch game know ya gf friends swear,1
allaboutmanfeet woof woof hot sole,2
allyhaaaaa lemmie eat oreo amp dish one oreo lol,2
almightywayne__ jetsandaswisher gook____ bitch fuck maybe get better,1
almightywayne__ fuck red malone man bitch ass niggah could please use complete sentence,1
arizonasfinest eggplant emoji doey say look like scream lmao,2
autoworid hennessey venom gt one sexy bitch,1
bossbytchh seh pussy wetter shower curtainahmesehwetnessltlmao,1
bro_hen eaglesnation every eagle need see pic post bitch say racist shit,1
bvsedchink yo fuck skateboard wood push faggot man ball life amjemiebenn,1
babyanimalpics baby monkey bathtime awwwwe soooo adorable,2
baylaagottabody shit damn skippy lol,1
beeasyjrizzy ever kill ant sidewalk think damn nigga way get pussyno bs must b gtchance,1
beenbasedb _kudabrazyy ring mvps bitch lol,1
beenflynsolo people talk bad ghettohood kid grow nigga funnnnnnn,1
bestproadvice facts tattoostattoo pussy tattoo nipples,1
bill_ rt nel_ayden bitch want act like niggas bad shit cuteeeee niggas act like bitch,1
bitchjones get worship bitch woof woof,1
blackchiquitita wow rt thatmanpalmer lose buttcheek pierce yeah hoe,1
blacknerdjade ok sis would rather break bitch shrug tell work,1
blackmantide whalelookyhere howdydowdy queer gaywad,0
brokenpiecesmsc itsnotadam faggot read tweet dat k even funny lol,1
brosconfessions bitch ungrateful fr lulwhore,1
cashandboobies kidnap yo bitch,1
cb_baby white_thunduh alsarabsss hes beaner smh tell hes mexican,0
ccobey aydanmccoy happy birthday nigs thank yo,1
chlldhoodruiner teacher tell homework bitch need go,1
caelang edham caelang nigga eat hoe lol hell yea lol john paul nigga say john paul,1
canifuckornah would lil ugly bald head bitch stop make makeup amp weave,1
carelessone leaf better win damn game go riot shit earlychristmas better start loot nig,1
causewereguys go back school suck dick hoe attend,1
causewereguys way fuck yo bitch year old,1
celeynichole white_thunduh come never bring food car retard,1
chadmfverbeck richnow show hella tinder hoe friend anymore chill bring like like prople,1
chandlerparsons bout cowboys shutup pussy,1
clicquotsuave lmaooooooooooo nigga krillz_nuh_care ltbitch want like depress shitfoh,1
coley_cee lil_aerii girl know spit g shit amp go lbvsbitch plz,1
coley_cee let make couple tweet cuzzo page get twitter jaillmao bitch trick,1
comedyposts harlem shake excuse go full retard second,1
comedytruth amen miley need act like hoe emotionally damage foh,1
corybandz one loyal female wayyyyy better hoe idc,1
crhedrys pussy lick pussy meow meow stopwhitepeople,1
dbab_holloway check th man cowboysnation even faggot ny fan stand,1
dgotbricks happen vixen ent bitch get run throw side like foothill bitch,1
daedavidavie white_thunduh bitch okay nudes pat wow,1
devilgrimz vigxrarts fuck gay blacklist hoe hold tehgodclan anyway,0
diamondloudkush fuck wrong bitch nobody know,1
dietrich shut upp make bitch,1
dionairish hate pregnant type bitch,1
doyou_q get bitch dm ever readthem top,1
domworldpeace baseball season win yankees love start,2
dommoneek little stupid bitch fuck yoooooouuuu,1
dreadheadari really ask dead ass serious though could say bitch wheet lol,1
dunderbail early bird night owl wise worm,2
edgarpixar overdose heavy drug sound bad tonight pussy shit every day,2
el_grillo pit bull photograph lovely fairy tale creatures fairy tale creatures,2
ferocious_ghost stname_bravo aw fag tweet aw lol,1
flokid long lakers trash could careless real cc benballer hahaha,2
frosstyy_ hrheyd say anything though kiss faggot,1
funnypicsdepot play soccer cheat girls wear khaki colour cargos haircut yup,2
gstatus could go fat ass bitch lap,1
gedmelle miss call das yo po bitch twitter fix screamn freemoneymelle,1
gtm_al ya side bitch get know rule shitanybody ask cousin jersey thinkin bout move lmmfao,1
gagatom malefoot amo los pies fuck yeah,1
girlthatsvonte hoe think meat slap ass ainna bruh,1
girlthatsvonte bitch wit edge talk,1
girlthatsvonte still go trick treat year nahhell yeah da sweet tooth bandit steal bitch bag n shit,1
girllssues want sex mom fuck right pussy come damn get hack like fuck,1
gizzy_jones kiss eye open watch bitchlmfao,1
goofstroop would coulda shoulda ass hoe,1
gotti_ltf happy birthday bitch ass nigga jetsandaswisherpreciate bitch roll,1
hbmostdope jayee pipinhoes use send bitch,1
hbmostdope ugly bitch like wcw duh bitch nobody elses,1
halotgmg stname_bravo nigga know hacky sack hoe nah throw look pass lmao,1
heartlessfuck glad get outta atlanta nothing bunch niggas amp outta jail amp dumb bitch mad kid fuckin,1
hermosaalma ghettoit smart idc,2
hiimjorib would wife hoe cuz would care cheat force relationship first place,1
hornyfacts single excuse hoe theonemiss_luu,1
hoskinsty white boy power bitch black power bitch,1
hudgens_ let us get drink get blow spit shit spark blunt amp fuck hoe bro white dudes chill,1
iscoutgirls verbally_abrupt bitch around world back,1
itsyahboiray anelylove get dick suck yo party bad bitch fr go set anelylove,1
itsyesie oomf soooo cute probably hoe lot,1
jayten every cartoon alway _nuffsaid save hoe lmao lmao damn captain saveahoe,1
jreebo want get nose bad bois scally chav sockfetish stink hot sox legs,2
jamesynba wish bitch like brother keezy ooooow bet,1
jasminepore dress cat halloween basic pussy,1
jewelxo pornhub get game stream feature dumb bitch gtfo pornhub get katielt,1
joebudden stop scar choke sex bitch ass niggas shell like say guy hit women bed foh,1
johnnyperez white_thunduh ha well iguess make hoe loyal bro never loyal hoe nig,1
kazatta takehov oh man molly ho fuck ya seed fix,1
kelsiebelsi man refer every girl bitch,1
keyshawnswag lmfao cat start beat shit nigga finally get pussy nigga,1
keyshawnswag peel peel bring back rewind back move shaq line ooooow tf say trash,2
kingcuh stanleys io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha,1
kinghendo vondreaam naw old tape new cover upcoming mixtape kingofthehill yeah wait hoe mayne,1
kingteej_ old dirty foot ass bitch funny,1
king_shawn_ white_thunduh get yellow flag amaze hell yeah niggy,1
kissmysmilee get time bitch actin iffy,1
knightfanneal ucfpinkparty come stay alive knight nation still early bird special comeatmeut,2
kyranadiya_ hoe loyal smfh amp wonder nobody decent want,1
lcistj bruh stud keep think soft hell ask ya girl many time scream bitch oh okay stfu bye hoe,1
lodycash dry pussy bitch always blame condom,1
lunaraps shut yo bitch ass,1
laflaregodjosh gucci mane jail drop mixtapes every month hoe even text back,1
latrobemark love hoe money wats wrong niggas,1
lebronvuitton loyal bitch burbs without daddy issue like find holographic mewtwo sound like lol,1
lilfridayhoe easy cum easy hoe fact,1
lifeasbros charlie sheen real major fuck respect charlie sheen,1
lightskingawdd wish bae get hoe though,1
lil_mike_ fuck twerking bitch cook,1
linniekravitz wesgodlaflare bitch wtf,1
lipe_the_great hrheyd lipe_the_great shut zoe fight pussy zoe good man good madam move along,1
lolaaisdope lmao fuck snake bitch,1
loveable_aizah big booty hoe everywhere sheesh damn,1
mlbnetwork stay tune mlbnetwork update report yankees b teixeiramark weeks dliming bum,2
m_rad dezdlt play soccer cheat girls wear khaki colour cargos haircut yes lmfaosoccerboy_,2
madflyentist oregon choke every year get field trash ass program rft,1
mannydiesel def cowboy lol rt artoffloyd terrell owens best eagle amp cowboy ever dude cry like bitch tv romo,1
markroundtreejr lmfaoooo hate black people black people niggers,0
master_ tolife_ gabrielastarr could bitch potent,1
maxmayo piss lad past would lick dirty sole sleep,2
maxmayo love frat boy w soft long sole,2
maxmayo sexy lad hot sole arch,2
megamindnick white_thunduh nah fam get cheat hoe depend female feel,1
mesha_nojas _vontethekidd get hicks lol,2
migsmichelen new twitter confuse shit go back south america bitch,1
miikito_x toto mean ass vaginai think pussy toto santi like nasty pussy,1
mikelahenry actually choose ugly bitch ass must fat,1
mileycyrus bitch could kill vibe ya try dis love miley,1
montrell_ tire bitch say look mean nigga big af wear tight shirt grim everybody,1
motherjones bird grandkids may never see thank climate change climate,2
mvckfadden stay beautiful bitch,1
nickiminaj wutkinda r purple ceeeleeeman gurl jus playin stupid hoe track still shit sum gurls,1
nastycopper money get taller bitch get blurry,1
newsomejade never see bitch obsess nigga obsess mine,1
nicholas_ted kobe stay talk trash let us forget j_austin mean one smh,1
nochillpaz least nigger lmfao,0
no_fakingg people always ask mix bad asian bitch lol,1
notoriousbm _whiteponyjr_ ariza snake coward least cripple like hero roach lmaoo,0
osay_it_aint_so ignorealllaws foster home imaginary trash whoa chill show everything tf,2
officialreplay lowkey tire tire quiet go sleep hoe,1
prayingforhead macklemroe stop bring weird niggers mention prayingforhead,1
prettyboss_brat love hoe,1
patrickquelo yo girl homeboys old weak bitch ass nigga,1
patsfanjoe d_palomino think worst advice give pussy speed lol,1
poemsporn quote tweet favorite animalpussy,1
poetic_success hate strippers tell dancers hoe ballet dancers pop pussy beethoven stripper,1
poffalicious andrewbryant poff double vision beers poff double pussy smh,1
poobie_ bitch twerk computer ya ya damn,1
prodsjewel_ sreadthepeace yungmindless peacepunkprince prince art nobody takin bitch,1
quant welfaregovernment aid claim white people black slander trash,2
quant bitch care play role,1
queen_kaaat take find hide lime tree iemonaids dis bitch da wrong tree bro,1
rtnba drakes new shoe release nikejordan yes glitter shoe dudes fag,0
rachiesoul dizzleofficial inna di ghetto alone lmaoo,2
ramboutit master_ tolife_ ramboutit hoe austin teach us austini teach get curve know,2
reachtheeclimax bitch cook know suck dick ones,1
renegademo fat hoe get choose lol,1
riahsm hoesaintloyal well hoesno one expect loyal,1
rishaawilliams treshon_scrooge _nevertrustt old bitch ass,1
rnadjorell bruh tire niggas retweetin miley cyrus naked bitch type bad lmaooo,1
sactownprodigy tony romo mavs game mean still bitch lmao fuk cowgirls lol bitch fuck,1
samjlayman holy shit freddie highmore charlie chocolate factory roll floor laugh,1
samirahusic_ want sex gf feel like use anonymous whata faggot,1
sexualgxfs one followers somebody bitch,1
shaa_jenkins ya bitch always bitch clearly care annoy bitch,1
shantaughther catfish hoe thinkin slick niggas catch,1
shewenttojordan worry bitch worry bout real,1
showarrive side hoe insecure niggas handle real one,1
shun_stokes rt bluprint_ lmao bitch come scoot tent like fuck shit,1
shun_stokes cousin say share hoe brothers say share care love brothers,1
slimgirl_probz hungry ionn want spend money foodbroke hoe problems,1
smeegbaby dese hoe lyin us nigga,1
snakecharmsdump oh yeah fuck bitch,1
sportscenter eli man throw nflleading th interception season lmao trash,2
sportscenter usc senior rb anthony brown call head coach steve sarkisian racist quit team bitch,2
stellatex guess also zero time mansplaining adios stfu pussy,1
stephenwildboy chill sexy scally lad,2
strap__ share bitch mine mine,1
sukmysweetness money impress simple break bitch,1
sylvieamx pisces never anybodys bitch let people control change rigghhht,1
tee_jonez stanleys kingcuh tuku ho know blah blah blah,2
tee_jonez kingcuh stanleys mad cuh hahaha suure tuku ho ita,2
tayknosbest hoe crazy,1
taylorr_babee ever go slice bitch kevin hart,1
thatniggatroy oomf fuckin fine though dam bitch,1
thegamerkingkev wonder girl give head boys drink magaluf twitter probly send nudes fag,1
thenewsat newsatquestions yeah bitch yeah bitch call _______ maybe b steveo c later jesse pinkman machinegunkelly,1
thenymphotweets hickies thighs right pussy gtgtgt right,1
theonemiss_luu would still love longer young beautiful ugly monkey ass,1
therealrickyb jetsandaswisher gook____ come frontbitch come,1
therealrickyb jetsandaswisher faggot bitch,1
the_realist_sam madrid_ yea ipad work friday let us ball faggot tropicalblanketi work,1
theo scally lad would get,2
theomaxximus gerryshalloweenparty halloween yesterday stupid nigger,0
theomaxximus chrus still supahot though walk teacher test drop test bitch fohead,1
thornton kantkeepahbytch love eat pussy lol never get full lol eat shit forever lol ever,1
tmacc_gfg voiceofdstreetz tmacc_gfg tizzimarie slush hoe nasty anyway famthem hoe taste like meds,1
tmacc_gfg tizzimarie slush hoe nasty anyway fam,1
tmacc_gfg bobby bitchby bobbyshmurdags get live fuck hell yea play hoe workout,1
trelekidd yo bitch gucci mane rt jabarithegreat bitch stoner,1
tweetgamelazy ride bitch handle bar,1
tyjoncuffee hoe get traphoussseeeee,1
uberfacts sad tv character deaths still bitter stark man,2
unholy_jack harbor bitch party bus hoe lol,1
vbomb woodchuck pussy love,1
veronikahumbert ultraviolence video come little bitch mtvhottest lana del rey bitchy promo,1
vineforthebyrd way fuck bitch lmfao kittycopter,1
wbur smuggler explain help fighters along jihadi highway,2
wbeezy_ quathegreat aww avis look cute together get get ike avi bitch,1
wbeezy_ run_drc simple hoedo worry expose fight mewhy,1
wannabekanye bitch boost size exactly healthy though,1
withaprettyface _nonlykeisha bet bitch kim bye,1
x_xpdotjdot damn near get protect tweet stalkers annoy get dope dick drive bitch loco,1
xojennygirl make marack girlfriend marackaf aye b pullin hoe like teach,1
xoxo__angiee bruno fag boy love,1
yehits_von run_drc must bitch sike naw always beef,1
yankees yankees look rally bottom th rallycap,2
youngricooo wexicanafro take advantage nice person hoe everyjuan,1
youngricooo happy birthday bitch nigga wexicanafro thank pal,1
youngricooo sad know hoe fuck get stack wait till friday,1
yungmigo shane_a cinco shit harder fucc niggayee fucc wit rich homie cuz dats ya homeboy fucc nicca,1
zoebarton hrheyd ewww say last sundayas last sunday read nigs,1
_bada_bing punch real niggas face pussy nigga go punch right back strong mush shake,1
_beedontcare pussy still fresh lt something stink girls say,1
_geewillikers_ ass slap one greatest things haha slap girl ass get mad get pussy week,1
_tommycollins wearerichnow buffalobills yeah texans much better fuck retard see mad,1
__malibubarbie nd wtf dark bitch blonde please several seat hoe look like blackampmilds,1
__sugga lane bitch need stay leave n get right fuck outta face,1
__sneakyb hate boys deny bitch smh,1
__taradise__ ya nigs still say eat butt straight face,1
__yourewelcome boss ass bitch need sit corner,1
_iwantfranny hoe,1
_prettyflvck paul thinkin bout gettin rentals da weekend oooh shit bitch betta stay da streets,1
_rapdreams bitch hold nigga get lock nigga go college military different story,1
_simplycaitlin friends hate ratchet hoe,1
adriwadrri love fuck niggas hoe,1
airmaxlad hot meat sexy fuck scally lad would love meet trainers,1
airmaxlad sniff perved scally lad fuck yeah,1
alejandra_p bitch love sosa,1
alexissixela__ white_thunduh legit watch second wtf prob retard smh,1
allisonnamaya_ name cat ideas mr pussy,1
altosteel woof woof sexy thug boy scally,1
ambitiousbree _nonlykeisha see damn phone ring marry bitch make demand call,1
analicialouise tevin favorite sophomore think funny hes really lmaoo hes little hoe,1
angelenagoley sex position call fuck soul outta bitch,1
ashlingwilde itsnotadam bore suppose cute faggot sometimes,0
ayyee_ceee_ one man trash another man treasure,2
babineaux_ get type bad bitch thing like iongotnotype,1
bigbootybishopp white_thunduh lassen cc coach want feel get nig doubt,0
bleedingtrap god teeth gold chain white bitch cocaine,1
cheetahbluntz_ hoe hoe shhhhh,1
chieflottahoes dc call rollers chiraq call thots across america know hoe,1
clayton_jenn go miss bitch bus driverno lie,1
coltfortygone hate bitch try put friendzone bitch tryin score put endzone soul,1
complex_uk ashley young try deny bird land mouth gt hahaha,2
datfullerkid trevaughnlg gimp tht bitch huh lol,1
deepthroatmike boys_south take ride woof woof,2
demi_eggleton oh god love victoria mitchell bitch love,1
djsliime long distance shit wack know bitch cheat uh oh,1
fiirting right bitch smh,1
fatboyswagg ban dat pussy life amp get pay millon dollar fine,1
fuckcamoclark roses red violets blue niggers black know true dylan,1
grillaze sit window sill window open bird try fly smack protecttheanimals peta,2
glowstruck nigga gon nigga nigga sound fuckin retard,1
greggutfeld video entire media likely mock crybaby,2
gurl_im_angie itskiaraaaa westyourmajesty even shy stfu kikis mom hi angelique angelique smile dip cracker soup,1
haitian__gold tim tebow get cut every team nfl already get hoe starkville smh,1
hazelebaby karma bitch damn godprotectshisangels sip tea,1
hornyjhb fuckin hot gym pussy fuck yeah,1
hxhassan jihadi patron hajjaj alajmi arrest kuwait airport,2
iampickuplines call fireman turn hoe,1
icrawley could never bby lil dick thts get abortion last bitch oh god,1
idntwearcondoms watch women try argue like dick actually fuck pussy hate bitch,1
ilgdaily smoke weed public fuck cop man want run come retard,1
itrapwatermelon tweety bird though,2
irlfatty pussy sweet like watermelon thotermelon,1
itscoleharmon_ twitter rappers dm trash link,2
jsadass loud bitch annoy,1
jacaxeltlu eventually every bitch turn hoe truuu,1
jaimescudi_ tonybthrz_ jaimescudi_ swear oomf try talk tomorrow barackobama pussy,1
jama_jam bitch pretend tf crazy never lie,1
jasmyncyniquee white_thunduh k bye hoe um bye,1
jayswaggkillah jackies retard blondeproblems least make grill cheese,0
jboii keep give pussy ass niggas ah reason hate,1
jethromass photo sole heaven,2
jgabsss stacey dash win baddest bitch evaaaa,0
juicyyyjayyyy side bitch sunday,1
k_eazy facts baldheaded bitch make shit lmao,1
kayreneeee_ fuck wit us tweakin hoe shmurda,1
kazooook actin like th day wesgodlaflare spook,2
kikistfu break lil bitch neck even feel sorry savage,1
leikant fuck hot scally sneakersex sockfetish sniff trainersex love kinky scallies,1
likemicah dumb ass niggas press hoe weak fuck fuck weed hoe oreos,1
lildurk_ turn yo bitch eaterrrrrrrrr,1
lildurk_ trust dese hoe nikki tell st stay fan screen shoot soon possible fix come chiraq shoot sumn,1
marackaf white_thunduh aye tryout bowl team frfr tryouts pass though two retard,1
maybe get want bitch enjoy crazy party would love attend,1
metroadlib color contact eye blinders mine see lmao,2
michelle_westt facts poonsoaker dudes hoe say get hoe j_austin,1
midywidey_ rea start smack bitch period bluffin best,1
molssyo lifes bitch die get high neva know go go sister perfect,1
molssyo one us drug still wrong currieburry hahahahahahah bitch sometimes,1
morgandaylee feel pretty fuckin ghetto smh,1
nohands_ tolife_ nohands_ dejaaleeann_ b_coleman swear man easily easily behind austin nip,2
obey_jrock__ true ride die bitch fuck hahahahah,1
oldpicsarchive hgwells charlie chaplin history photography,2
ortiz_jaylene see brunos bitch ass twitter wtf brunos see drake voice,1
ozzie_garza white_thunduh cool faggot chill tf cool nigga,1
ozzie_garza white_thunduh sure bitch frfr tf,1
poppunksucks twitter source news broadcast fuck retard nbc abc cnn fox etc keep quiet,1
queendulaaa get couple bitch say know ima let money talk like wwyd,1
realfortes grudge weirdosand bitch,1
rhythmixx_ tell mariam cigarettes birthday also call trash right,2
riananewman edham brownies tonight kind,2
rollyup text back give fuck text another bitch damn someone hurt lol,1
ronald_iongi ummmmmm okay get hoe leave right yah thang,1
royalswagg_ use ymxb find slope ass,1
rugbysocklad fit lads nice gear scally lads n trainers would get,2
rugbysocklad hell yeah bro fuck yeah sexy scally lad hot gear,1
rugbysocklad help mate love scally play fuck yeah,1
rugbysocklad lads lads fuck yeah love scally lad action hot trainers,1
savage_twotone next year bitch go like get promise expose,1
scallynikelad sleazytwinks hot rt opcinjen lick bitch fuck yeah eat trainer dirty fucker,1
sierrabernia tg_cincokilby think celebrity pussy different locals yeah meghan goods,1
sleepy_yongguk saw ajumma walk begin say wow trash even listen lmaoo,2
sniffsockslad need sox fuck yeah love kinky scally lad w rank sox sneak,1
snoleezey ever expose females like childish bitch nigga shiiii,1
socass_ sexilexi socass_ yasss try new things bestfriend bitch love,1
socass_ dude remember wop video sexilexi omg find,2
soxandjox thick raw fuck damn man pussy get workout,1
soxdawg rawr rt skinrubberboi sexy french scally love frenchscally sexy scally woof woof,2
splurgb_ nothin life free bitch need write ya panties,1
stephencdo currieburry one bitch want burrito catch potosino huh haha,1
talibanshawtyy niggas whole hoe cuz could say better,1
theaveragerocks hardcore way eat mac cheese boil water snort cheese powder drink boil water fuck bitch,1
thebravebird yourenotmytype fade perpetually fresher real ass bitch rite,1
thejudyann annoy bitch love judyanns pretty,1
thotmouths lmao bitch get huggies,1
trestiffer hi bitch bitch bye bitch,1
trutherbot look like bitch el_capacitor,1
whoiscoreyking chase money hoe,1
whooligan__ stand know want ass nigga bitch,1
wiganzlad markycrumb gmail_shorts way love chavhot sexy scally fucker,1
witmyrudeass newly gay bitch kno shit work,1
witmyrudeass bitch want real job become strippers lol lol,1
wodaeeex awww meat meat feelinsi ainn n feel bitch,1
wodaeeex want snake bite industrial piercin amp tattoodem hoe accessories dea,1
worldtraveis baby albino meeeesh,2
worldwarzee_ hoe loyal,1
xoxoclauudia yassssss order chinese bitch eat tacos fat fuck,1
zmbiedance make bitch lunch elizabethbatman bitch love lunch,1
brainer soon bitch get rich political power view change political whore,1
pussy day keep devil away doperthanyola,1
bitch mean,1
bitch want baby want children,1
bitch must lose,1
baby like leave side bitch cuz street side twitter say real,1
bae sound like ghetto word use something else,2
batter wee cunt jewis cos fuck ex emma batter girls nailedi move onstop pussy n urself,1
bleed hoe alexa,1
boolin bando wit bitch,1
brownies brownie love movie,2
need bad bitch hotter might realist shit partynextdoor ever say feelin everyday,1
way punch bitch,1
caesar home rt naewoodster mjayskillz much bitch look like let us start ape shit,1
chinese maverick communicate comrade know give imperialist yank birdie,2
dad say hi snapchat dad duces bitch,1
believe hoe fact loyal disagree believe fact loyalest bunchthese hoe,1
know ugly bitch know break niggaskevin_gates,1
make make fall live nigga like meee bird amp favorite songs weeknd,1
worry nigga see worry nigga see dats da nigga fuckin yo bitch,0
ever give pussy away keep tight alright,1
drop stack bitch poloboy song call dope download mixtape,1
dumb bitch dumb things,1
eat pussy like real nigga hungry,1
eff let us go cripple,1
everything look better bitch next,1
facto shaunasayomi care hoe ass look like,1
every bad bitch nigga tire fuck,1
foreign chick lie man bitch beautiful,1
fresh nigga kno need clean bitch kno work cuz want see team rich,1
fuck make rule suck dragon ball bitch call goku,1
generate ascii box nodejs see ability bring flappybird node via ascii tube bird _,2
get shit bitch fine bear,1
get ass back detroit ya fuckin wigger,1
girls date okay mad yo unless stab heart love hoe,1
know twitter password bitch please,1
see show see hoe hot would thick,1
bitch hit hoe,1
marry white woman lucky sumbitch uncle ruckus,1
want nigga trinna save account omg go funny ass bitch man real shit,1
great grandmas hoeher grandmas hoeher moms hoe hoe long line hoe grandpa carl everyone,1
hey go look video man find kidnap girls ohiowhat nigger shitmybosssays,0
hey pussy still,1
draft gungho folks send afghanistan war zone show,2
hotter bitch,1
talk hoe bout bro n talk hoe bout bro n,1
crazy bitch hilarious,1
know shoe dirty fuck whatever bitch call like negro one first things look shoe dog,1
thrill billywith hillbilly heart billyraycyrus hahahahaha jesus murphy,2
call bitch makennam_,1
handle liquor bitch handle meeedd chief sosa,1
chase dudes chase bitch edgar bautista,1
love hoe baby forever,1
even need picture tamar bitch beat every picture,1
hoe,1
find new way chug open mouth alot shitallysays,2
fuck hate bitch much want smack face tongue kiss,1
get bitch set like jada picketqueen latifah rid round nieces bitch titi,1
get sister tell stop call women bitch,1
guess night bitch die stewie nigga,1
bitch bitch bitch eat halibut iamyoungroc freshrhymes jerksquad slowstir,1
ladylove marry still want bang sex bitch troubadour probably,1
hear look candy man bitch,1
hope get mad ladies call bitch bitch know name individually katt williams letmicahdown,1
get number bitch boy,1
know shit eatin grin either fuck girl dream sell car know faggot sell,1
older men mature suppose fool us bitch,1
probably leave bitch cup hand yo hand hand,1
say like taste like wolf pussy even know taste like,1
teach eat pussy cut hair teach eat pussy hair name movie,1
use dress like cop oh really yeahright mad pussy really yesi never forget,1
go jail flock amp come home wit strike go jail bitch come home dike yg,1
fuck stand dizzy bitch two unique amp separate phrase overhear relative say younger,1
wake like thi bitch go back bed,1
would rather call bitch sir manager,1
beat pussy hard,1
slit throatneck,2
funky ass honkey jtimberlake shout macklemore tonight cabaret jttour,1
compare kfc pussy maxon_maxoff,1
download new personality order new face bitch love goddamn axl rise yell sex robot,1
feelin like malcolm middle bitch surround miss,1
go piss dimple sonia_ stop waste prayers trash team lol,1
probably main bitch chocolate dip cinnamon apple,1
sick shit man jonniesantana sit bitch ass feed bro rt sbabylife geno throw yet another pick smh,1
sorry fuck yo bitch really dig nigga kingl,1
ibs irritable bitch syndrome,1
love hide yo bitch keep shorty wizkhalifa,1
talk back get pussy,1
bad bitch put hand high every girl room start wave hand around,1
go tie bitch basement donkeyfuck ass two weeks straight hahahahahahahahaha centmovie beforeiselfdestruct,1
mind get dumb hoe anthem,1
albino mexican dad asian,2
take true directioner accept larry know bitch fan like make boys cry thankyoupaulforconfirminglarry,1
allegations bedroom see word naive amp blind bitch know husband cheat ramona dumb,1
never late tag bitch cyfyre,1
dyke hunter dyke dyke,1
julia roberts ho laurengardner nottinghill,1
follow yellow brick twitter,2
lmfaoooooooooooooooooo bb_brooks pussy good mama dont like guess get gomy mama,1
lol cripple wendy davis rt mailonline scientists create remotecontrolled chick study shy penguins,2
let us nip ahoy spank maybe,1
let us kill cracker baby wtf hear wow,0
like correct wrong pimpin involve smackin bitch money,1
lmao blackbeauty rt sbabylife pound cake look like pussy,1
lmao swilla_lo drose adidas lighter phone shit retard,1
mam rene doet haar rol net ze ongesteld wat ongesteld van dat soort vragen waar je denkt hoe leg ik die weer uit,2
maybe want friend maybe stupid bitch never know make cum,1
mine play dmx kirk franklin smh _justcallmebrit well neighbor ghetto get like beat kid,2
grandma use call porch monkey time come think refer break bottle nigger knife,0
momma tell tell mind yoooo damn motha fuckin business knowin bitch,1
nip freeeeezingand okay slice bra,1
twitter hack pussy admit say want act like never say,1
nah girl gon able make tight since russ loss job back like damn bitch really,1
nah nomeek_justmilz yo think photoshopped face faggot smmfhi hate,0
new flame song yr lol bitch super run like,1
niggas always yell fuck bitch get money meanwhile break still want bitch,1
niggas press pussy eeeeeen nothin,1
bitch nan,1
boat hoe please thank mom,1
ovo allthingsfresh amp kendrick lamar still trash,2
top pregnant ass sorry hoe never get money even water break talltrappin riptallt,1
couple red sox get past first base die laugh maybe yank need teach game,2
people time aryan race stand say mongerls turn world ghetto slum,0
pistol whip dickau shoot yo bitch club sometimes freestyles freestyles okay,1
rt please thank bmorepocahontas pierce pussy come across timeline,1
remy machiavelli send shots ya belly bitch,1
roberto one nasty hoe,1
sorry jb fanreally justin come back top comment justin timberlake video million view son fuck bitch,1
